Clients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,note/school schedule,Location,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
JoAs,4-6pm,4-6pm,4-6pm,home at 12:30,4-6pm,,"school(7:35-1:55 mon,tue,thur,fri) (7:35-12:30)",colton,,,,,,,,,,,,,,,,,
JoCaDu,8:00-3:00,8:00-3:00,8:00-3:00,8:00-3:00,8:00-3:00,,school,,,,,,,,,,,,,,,,,,
JoDu,,,,,,,,,,,,,,,,,,,,,,,,,
JoeRaGu,4-8pm,4-8pm,4-8pm,4-8pm,4-8pm,,,riverside,,,,,,,,,,,,,,,,,
JoHe,,,after 10am,after 10am,after 10am,,,,,,,,,,,,,,,,,,,,
JoleRaGu,4-8pm,4-8pm,4-8pm,4-8pm,4-8pm,,,riverside,,,,,,,,,,,,,,,,,
JoLoOr,3:00pm-6:30pm,3:00pm-6:30pm,3:00pm-6:30pm,3:00pm-6:30pm,3:00pm-6:30pm,,,,,,,,,,,,,,,,,,,,
JoTh,,,,,,,no intake,,,,,,,,,,,,,,,,,,
JoVa,after 2:30pm,after 2:30pm,after 2:30pm,after 2:30pm,,,interest in school( 10am-2pm Mon-Fri),,,,,,,,,,,,,,,,,,
JuAvl,10:30-1:30pm,10:30-1:30pm,10:30-1:30pm,10:30-1:30pm,,,,,,,,,,,,,,,,,,,,,
JuHe,8:00-12,8:00-12,8:00-12,8:00-12,8:00-12,,,,,,,,,,,,,,,,,,,,
KaDo,,,,,,,,,,,,,,,,,,,,,,,,,
KaGr,,,,,,,clinic service ,,,,,,,,,,,,,,,,,,
KaRoMe,,,,,,,,,,,,,,,,,,,,,,,,,
KaYa,4:30-8:00,4:30-8:00,4:30-8:00,4:30-8:00,4:30-8:00,,,,,,,,,,,,,,,,,,,,
KeAm,2:05,2:05,1:15,2:05,2:05,,,,,,,,,,,,,,,,,,,,
KeCa,,,,,,,,,,,,,,,,,,,,,,,,,
KeLo,,,,,,,,,,,,,,,,,,,,,,,,,
KeNg,3:30-5:30 pm,3:30-5:30 pm,3:30-5:30 pm,3:30-5:30 pm,3:30-5:30 pm,12pm-3pm,want clinic service,,,,,,,,,,,,,,,,,,
KeSaRoSa,3-6pm,3-6pm,3-6pm,3-6pm,3-6pm,,,,,,,,,,,,,,,,,,,,
KiAl,"8am-2pm, 4-8pm","8am-2pm, 4-8pm","8am-2pm, 4-8pm","8am-2pm, 4-8pm",8am-12pm,,,,,,,,,,,,,,,,,,,,
KiDu,3pm,,3pm,3pm,3Pm,morning,,,,,,,,,,,,,,,,,,,
KiLe,after 3:30,after 3:30,after 3:30,after 3:30,after 3:30,starting 8:00 am,school (8:30-3:00pm mon-fri),,,,,,,,,,,,,,,,,,
KrMa,3:30-5:00,3:30-5,3:30-5,3:30-5,3:30-5,,"(school 8:00-3:00, weds 8-1:30)",,,,,,,,,,,,,,,,,,
KyPh,3:30-6:30pm,3:30-6:30p,n/a,3:00-6:00 pm,3:00-6:00pm,,,,,,,,,,,,,,,,,,,,
LaRo,after 4:30,10:30-3:00,12:15- on,2:15-on,aft 4:30,,,,,,,,,,,,,,,,,,,,
LeBa,5-7pm,5-7pm,after 2:40 earlier if possible,5-7pm,5-7pm,,"school (9:15-3:40 mon,tues,thurs,fri) (9:15-2:40 weds)",,,,,,,,,,,,,,,,,,
LeKn,11am-3pm,11am-3pm,11am-3pm,11am-3pm,11am-3pm,,,,,,,,,,,,,,,,,,,,
LeLe,,3:30-5:30,3:30-5:30,3:30-5:30,3:30-5:30,,,,,,,,,,,,,,,,,,,,
LeRaRa,10pm-2pm,,10-2pm,,,available but doesn't want service,,,,,,,,,,,,,,,,,,,
Leri,open,open,open,open,open,,,,,,,,,,,,,,,,,,,,
LeTe,3:45-5:30,3:45-5:30,2:45-5,3:45-5:30,,,,,,,,,,,,,,,,,,,,,
LiEs,4-8pm,4-8pm,4-8pm,4-8pm,4-8pm,,,mission viejo,,,,,,,,,,,,,,,,,
LiGI,,,,,,,not in intake,,,,,,,,,,,,,,,,,,
LiMa,after 4pm,after 4pm ,after 4 pm,after 4pm,after 4pm,,,,,,,,,,,,,,,,,,,,
LiMi,1pm,1pm,1pm,1pm,1pm,1pm,,,,,,,,,,,,,,,,,,,
LiRa,12:00-4pm,12:00-4pm,12:00-4pm,12:00-4pm,12:00-4pm,yes,8am-11:30 school schedule,,,,,,,,,,,,,,,,,,
LiVi,9am ,9am ,9am,9am ,9am ,9am ,,,,,,,,,,,,,,,,,,,
LuKu,after 3:30,after 3:30,after 3:30,,after 2:30,,,,,,,,,,,,,,,,,,,,
MaAl,1pm,1pm,1pm,1pm,1pm,,,,,,,,,,,,,,,,,,,,
MaBe,8:30-12pm,8:30-12pm,8:30-12pm,8:30-12pm,8:30-12pm,open to it,,Adelanto,,,,,,,,,,,,,,,,,
MaCaAr,3pm-6pm,3pm-6pm,3pm-6pm,3pm-6pm,3pm-6pm,maybe open,8:30-1:30 school schedule from mon - fri,,,,,,,,,,,,,,,,,,
MaCan,,,,,,,,,,,,,,,,,,,,,,,,,
MaFe,,8-1:15,8-1:15,8-1:15,8-1:15,,Only school schedule,,,,,,,,,,,,,,,,,,
MaLo,4-7pm,3-6pm,4-7:30pm,4-7pm,4-7pm,,,,,,,,,,,,,,,,,,,,
MaMo,3pm,3pm,3pm,,3pm,8am,,Moreno Valley,,,,,,,,,,,,,,,,,
MarAl,1:45-4pm,1:45-4pm,1:45-4pm,1:45-4pm,1:45-4pm,,,victorville,,,,,,,,,,,,,,,,,
MarCa,10-2pm,10-2pm,10:00-2:00pm,10:00-2:00pm,10:00-1:30pm,,,,,,,,,,,,,,,,,,,,
MaRo,3pm,3pm,3pm,3pm,3pm,before 3pm,,,,,,,,,,,,,,,,,,,
